lat,lng,Structure_Number,system_use_code,city_id,geometry_x,geometry_y
36.82801544,-76.27604035,F183605,0,NORFOLK,-76.27604035,36.82801544
36.82803765,-76.28302532,F18655,0,NORFOLK,-76.28302532,36.82803765
36.82803825,-76.28320301,F18650,0,NORFOLK,-76.28320301,36.82803825
36.82805147,-76.26917978,G18399,0,NORFOLK,-76.26917978,36.82805147
36.82810224,-76.27612666,F183604,0,NORFOLK,-76.27612666,36.82810224
36.82812674,-76.2817787,F183626,0,NORFOLK,-76.2817787,36.82812674
36.82822156,-76.26654464,G18381,0,NORFOLK,-76.26654464,36.82822156
36.82824281,-76.27861742,F183617,0,NORFOLK,-76.27861742,36.82824281
36.82825689,-76.27878105,F183616,0,NORFOLK,-76.27878105,36.82825689
36.82828136,-76.26649706,G18382,0,NORFOLK,-76.26649706,36.82828136
36.82828659,-76.26999006,G18402,0,NORFOLK,-76.26999006,36.82828659
36.82829522,-76.2698039,G18401,0,NORFOLK,-76.2698039,36.82829522
36.82830601,-76.26781303,G18389,0,NORFOLK,-76.26781303,36.82830601
36.82832838,-76.27980083,F18575,0,NORFOLK,-76.27980083,36.82832838
36.82834696,-76.27976611,F18576,0,NORFOLK,-76.27976611,36.82834696
36.82835144,-76.26819296,G18393,0,NORFOLK,-76.26819296,36.82835144
36.82836933,-76.26776809,G18388,0,NORFOLK,-76.26776809,36.82836933
36.82838794,-76.2682718,G18394,0,NORFOLK,-76.2682718,36.82838794
36.82840381,-76.27986698,F18574,0,NORFOLK,-76.27986698,36.82840381
36.82844208,-76.25028582,I17220,0,NORFOLK,-76.25028582,36.82844208
36.82844747,-76.28130453,F183634,0,NORFOLK,-76.28130453,36.82844747
36.82846261,-76.26810218,G18392,0,NORFOLK,-76.26810218,36.82846261
36.82846386,-76.28246263,F183630,0,NORFOLK,-76.28246263,36.82846386
36.82846621,-76.26705814,G18380,0,NORFOLK,-76.26705814,36.82846621
36.8284706,-76.25029204,I17219,0,NORFOLK,-76.25029204,36.8284706
36.82847373,-76.28400369,F183624,0,NORFOLK,-76.28400369,36.82847373
36.82850084,-76.28122094,F183635,0,NORFOLK,-76.28122094,36.82850084
36.82851518,-76.26701404,G18379,0,NORFOLK,-76.26701404,36.82851518
36.82853259,-76.28391995,F183625,0,NORFOLK,-76.28391995,36.82853259
36.82854801,-76.25028033,I17217,0,NORFOLK,-76.25028033,36.82854801
36.82855012,-76.24999527,I17221,0,NORFOLK,-76.24999527,36.82855012
36.82856624,-76.28221015,F183627,0,NORFOLK,-76.28221015,36.82856624
36.82858735,-76.25045581,I17216,0,NORFOLK,-76.25045581,36.82858735
36.82858914,-76.2502532,I17218,0,NORFOLK,-76.2502532,36.82858914
36.82859277,-76.24993717,I17224,0,NORFOLK,-76.24993717,36.82859277
36.8286015,-76.26715709,G18378,0,NORFOLK,-76.26715709,36.8286015
36.82862891,-76.28232793,F183629,0,NORFOLK,-76.28232793,36.82862891
36.82865622,-76.27458749,G18516,0,NORFOLK,-76.27458749,36.82865622
36.82865765,-76.24992831,I17225,0,NORFOLK,-76.24992831,36.82865765
36.82866159,-76.24998254,I17222,0,NORFOLK,-76.24998254,36.82866159
36.82867671,-76.27445964,G18515,0,NORFOLK,-76.27445964,36.82867671
36.82868261,-76.27920947,F183615,0,NORFOLK,-76.27920947,36.82868261
36.82873595,-76.25099785,I17215,0,NORFOLK,-76.25099785,36.82873595
36.82875813,-76.27913549,F183614,0,NORFOLK,-76.27913549,36.82875813
36.8287591,-76.27918673,F18994,0,NORFOLK,-76.27918673,36.8287591
36.82875914,-76.27933368,F183620,0,NORFOLK,-76.27933368,36.82875914
36.82880203,-76.25095085,I17214,0,NORFOLK,-76.25095085,36.82880203
36.82881275,-76.28071627,F183639,0,NORFOLK,-76.28071627,36.82881275
36.82885534,-76.27919074,F183619,0,NORFOLK,-76.27919074,36.82885534
36.82887348,-76.25243332,I17204,0,NORFOLK,-76.25243332,36.82887348
36.82893551,-76.27889566,F17974,0,NORFOLK,-76.27889566,36.82893551
36.82894141,-76.25154291,I17213,0,NORFOLK,-76.25154291,36.82894141
36.82896266,-76.25153206,I17212,0,NORFOLK,-76.25153206,36.82896266
36.82897674,-76.25236846,I17203,0,NORFOLK,-76.25236846,36.82897674
36.82900512,-76.27896056,F17973,0,NORFOLK,-76.27896056,36.82900512
36.82902606,-76.25149968,I17211,0,NORFOLK,-76.25149968,36.82902606
36.82907149,-76.25180992,I17210,0,NORFOLK,-76.25180992,36.82907149
36.82907649,-76.25216023,I17201,0,NORFOLK,-76.25216023,36.82907649
36.82911846,-76.25227945,I17202,0,NORFOLK,-76.25227945,36.82911846
36.82912519,-76.26785191,G17370,0,NORFOLK,-76.26785191,36.82912519
36.82913718,-76.25177191,I17209,0,NORFOLK,-76.25177191,36.82913718
36.82914111,-76.27713831,F17964,0,NORFOLK,-76.27713831,36.82914111
